"","s_cerevisiae","s_paradoxus","s_mikatae","s_bayanus","c_glabrata","k_lactis","e_gossypii","c_albicans","d_hansenii","y_lipolytica","m_grisea","g_zeae","n_crassa","a_nidulans","s_pombe","c_neoformans","u_maydis","e_cuniculi","h_sapiens","d_melanogaster","c_elegans"
"33438860",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438861",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438862",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438863",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438864",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438865",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"33438866",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438867",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438868",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438869",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438870",1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0
"33438871",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438872",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438873",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438874",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438875",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438876",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438877",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438878",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438879",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438880",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438881",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
